ec5_uuid;created_at;1_TIme;2_NC;4_MN_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_LN_Behavior;29_Contact;30_AR;31_3M;Unnamed: 28;highlight
661d80b2-457e-4d9c-a605-4baeb062c3bd;2025-03-12T00:51:57.000Z;09:51;NO;GG;SR;TN;;;RS;;;;;GR;ST;TN;;;RS;;;;;RS;;ST, SR;;;
11768b2f-c3ec-4fc8-9121-47f2b60cd29c;2025-03-12T00:54:11.000Z;09:53;NO;GG;SR;TN;;;RS;;;TK;;GR;ST;TN;;;RS;;;NY;;RS;;ST, SR;;;red
c82c1bcb-c707-44bb-8cd7-958ada5b8a32;2025-03-12T00:55:33.000Z;09:55;Yes;GG;SR;TN;;;RS;;;TK;;GR;ST;TN;;;RS;;;NY;;RS;;ST, SR;;;green
3ab77880-1f66-4212-b493-80ae1e028afa;2025-03-12T00:57:35.000Z;09:57;Yes;GG;SR;TN;;;RS;;;TK;;GR;ST;TN;;;RS;;;NY;;RS;;ST, SR;;;green
6993cfbb-d90d-4d25-898d-dcbae57c582b;2025-03-12T01:00:09.000Z;09:59;NO;GM;SR;TN;;;RS;;;TK;;GM;ST;TN;;;RS;;;NY;;RS;;ST, SR;;;red
2cc43214-f44f-4020-b2ad-0097e85e1447;2025-03-12T01:01:34.000Z;10:01;Yes;GM;SR;TN;;;RS;;;TK;;GM;ST;TN;;;RS;;;NY;;RS;;ST, SR;;;green
a594e181-2ddc-43c4-845d-35e9ccbc5e21;2025-03-12T01:03:36.000Z;10:03;Yes;GM;SR;TN;;;RS;;;TK;;GM;ST;TN;;;RS;;;NY;;RS;;ST, SR;;;green
0f677356-811e-4730-8e50-6798f4c4eaaf;2025-03-12T01:05:34.000Z;10:05;Yes;GM;SR;TN;;;RS;;;TK;;GM;ST;TN;;;RS;;;NY;;RS;;ST, SR;;;green
41bdcb0f-1cdf-4685-bf84-9297c9a3f50f;2025-03-12T01:07:34.000Z;10:07;Yes;GM;SR;TN;;;RS;;;TK;;GM;ST;TN;;;RS;;;NY;;RS;;ST, SR;;;green
6a1da9bf-fb5e-4e34-9c6e-215e5dd18e0f;2025-03-12T01:09:41.000Z;10:09;Yes;GM;SR;TN;;;RS;;;TK;;GM;ST;TN;;;RS;;;NY;;RS;;ST, SR;;;green
937e353b-7498-4024-b62a-2d1a6323e6d4;2025-03-12T01:11:36.000Z;10:11;Yes;GM;SR;TN;;;RS;;;TK;;GM;ST;TN;;;RS;;;NY;;RS;;ST, SR;;;green
1a6512a2-adc1-4eb1-a13e-ec1aed926824;2025-03-12T01:13:35.000Z;10:13;Yes;GM;SR;TN;;;RS;;;TK;;GM;ST;TN;;;RS;;;NY;;RS;;ST, SR;;;green
8df1a0c3-1866-4e60-ae5a-8017b7667b48;2025-03-12T01:16:07.000Z;10:15;NO;GM;SR;TN;;;SD;;;TK;;GM;ST;TN;;;RS;;;NY;;RS;;ST, SR;;;
