ec5_uuid;created_at;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3;8_Notes;10_ST_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_LN_Behavior;23_Contact;24_AR;25_3;26_Notes;28_NR_Behavior;29_Contact;30_AR;31_3M;32_Notes;34_MN_Behavior;35_Contact;36_AR;37_3M;38_Notes;40_NY_Behavior;41_Contact;42_AR;43_3M;44_Notes
39825996-9e7d-416a-9e2a-2de854d39f96;2025-05-20T02:32:59.000Z;11:32;;;;;;;;;;;;;;;;Displayed toward cage c;;;;;;;;;;;;;;;;;;;;
061d501a-ea01-4d30-b452-1325c798ebaa;2025-05-20T02:36:07.000Z;11:35;NO;;;;;;;;;;;;;;;Displayed toward cage c;;;;;;;;;;;;;;;;;;;;
d243bde9-bdbf-4465-8220-fda2fb2ce068;2025-05-20T02:38:47.000Z;11:37;;;;;;;;;;;;;;;;Displayed toward cage c;;;;;;;;;;;;;;;;;;;;
3698d10b-019f-44e3-bc71-6f4afabd9c6f;2025-05-30T05:12:02.000Z;14:10;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fa1173c5-fdae-4a79-a07b-615427603b70;2025-05-30T05:27:37.000Z;14:26;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fa1173c5-fdae-4a79-a07b-615427603b70;2025-05-30T05:27:37.000Z;14:26;NO;;;;;;;;;;;;;;;;;;;;;PL;;;;;PL;;;;Minato Norio play;;;;;
f341e77c-c1ff-4de0-90fa-2723120e335b;2025-05-30T05:30:03.000Z;14:29;NO;;;;;;;;;;;;;;;;;;;;;PL;;;;;PL;;;;Minato Norio play;;;;;
f341e77c-c1ff-4de0-90fa-2723120e335b;2025-05-30T05:30:03.000Z;14:29;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Minato Norio play;;;;;
e7aa0734-8663-41c9-aed0-b5cba8f4cfbe;2025-05-31T00:49:09.000Z;09:48;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Norio Minato play;;;;;
e7aa0734-8663-41c9-aed0-b5cba8f4cfbe;2025-05-31T00:49:09.000Z;09:48;NO;;;;;;;;;;;;;;;;;;;;;PL;;;;;PL;;;;Norio Minato play;;;;;
d233dd38-e546-4d3f-a7a5-5ed500477ba0;2025-05-31T05:07:36.000Z;14:06;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Minato Naoya played;;;;;
d233dd38-e546-4d3f-a7a5-5ed500477ba0;2025-05-31T05:07:36.000Z;14:06;NO;;;;;;;;;;;;;;;;;;;;;PL;;;;;PL;;;;Minato Naoya played;;;;;
d97395a8-f967-45bf-ad22-6c3f2b76f04a;2025-05-31T05:19:36.000Z;14:19;NO;;;;;;;;;;;;;;;;;;;;;PL;;;;;PL;;;;Norio Minato play;;;;;
d97395a8-f967-45bf-ad22-6c3f2b76f04a;2025-05-31T05:19:36.000Z;14:19;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Norio Minato play;;;;;
a2b04628-495d-4a6d-aa06-afbedb5b9bea;2025-04-16T00:39:55.000Z;09:39;;;;;;;;;;;;;;;;;;;;;;;;;;;DS;;;;Towards cage c;;;;;
f3e5dfea-8396-4bf4-b44a-8a3d62935e7e;2025-04-16T00:44:28.000Z;09:43;;;;;;;;;;;;DS;;;;;;;;;;;;;;;;;;;Displayed pan hoot;;;;;
f3e5dfea-8396-4bf4-b44a-8a3d62935e7e;2025-04-16T00:44:28.000Z;09:43;;;;;;;;;;;;DS;;;;;;;;;;;;;;;DS;;;;Displayed pan hoot;;;;;
9e7f4adf-46b9-4050-90ff-ad45ab1c7ff0;2025-04-16T01:53:57.000Z;10:53;;;;;;;;;;;;AG;MN, NY;;;;;;;;;;;;;;AG;NH, NY;;;Ag towards ny;AG;NH, MN;;;
1c807d5f-f6ee-4f99-8262-7093058d0410;2025-04-16T01:56:31.000Z;10:56;NO;;;;;All for of them displayed toward cage c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1c807d5f-f6ee-4f99-8262-7093058d0410;2025-04-16T01:56:31.000Z;10:56;NO;DS;;;;All for of them displayed toward cage c;;;;;;DS;;;;;;;;;;;;;;;DS;;;;;DS;;;;
96b5bc45-609a-4e46-942d-899748f2e30b;2025-04-16T01:58:17.000Z;10:57;;DS;;;;;;;;;;DS;;;MN, NY;;;;;;;;;;;;DS;;;NH, NY;;DS;;;NH, MN;All of them displayed toward cage c
f01b9606-a535-4c4a-834f-f7659f6475b8;2025-04-17T05:41:41.000Z;14:41;;PL;;NY;;;;;;;;;;;;;;;;;;;;;;;;;;;;PL;;MS;;
1633cc6d-7444-45df-bae9-a1296ff55643;2025-04-30T01:08:58.000Z;10:08;;;;;;;;;;;;;;;;;;;;;;;;;;;AG;;;;Ag towards cage c;;;;;
1633cc6d-7444-45df-bae9-a1296ff55643;2025-04-30T01:08:58.000Z;10:08;;;;;;;;;;;;;;;;;;;;;;;;;;;DS;;;;Ag towards cage c;;;;;
7c5f2bdd-596a-40b6-a8c0-50fb1a5ea65d;2025-04-30T01:20:57.000Z;10:20;;PL;NY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PL;MS;;;
c4e4ddc5-7b29-4cae-a6b3-f9fdad537e26;2025-04-30T01:22:15.000Z;10:22;Yes;PL;NY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PL;MS;;;
7d19fe0a-98e5-4f45-bfff-aab5eff828ea;2025-04-30T01:24:29.000Z;10:24;Yes;PL;NY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PL;MS;;;
14b4f314-6807-4296-a002-f7864aa0cdb3;2025-04-30T04:19:44.000Z;13:18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AG;MS;;;Towards MS
e49d37a8-6aad-444a-a0d9-ed75f9aaad62;2025-04-30T04:27:27.000Z;13:26;;;;;;;;;;;;;;;;;;;;;;;;;;;AG;;;;Towards cage c;;;;;
