ec5_uuid,condition,date,msm,group,trial,phase,block_ID,Ind1,behaviour,qualifier,partner,notes,playing,aggression
000e75f5-2208-4353-9c92-ae4cbe434ba8,,2025-03-20T05:05:48.000Z,844,A1,,enrich,enrich_A1,MN,PL,,NR,,1,0
000e75f5-2208-4353-9c92-ae4cbe434ba8,,2025-03-20T05:05:48.000Z,844,A1,,enrich,enrich_A1,NR,PL,,MT,,1,0
3ca155e2-29b6-444b-be95-ca86c6dd298b,,2025-03-20T05:07:01.000Z,846,A1,,enrich,enrich_A1,MN,PL,,NR,,1,0
3ca155e2-29b6-444b-be95-ca86c6dd298b,,2025-03-20T05:07:01.000Z,846,A1,,enrich,enrich_A1,NR,PL,,MT,,1,0
28def944-0f13-401e-a4e6-e66d18b03085,,2025-04-09T00:56:20.000Z,595,A1,,morn1,morn1_A1,NR,PL,,TK,,1,0
28def944-0f13-401e-a4e6-e66d18b03085,,2025-04-09T00:56:20.000Z,595,A1,,morn1,morn1_A1,TK,PL,,NR,,1,0
58e84027-b8aa-4b1c-960f-470bc007651f,,2025-04-09T01:00:36.000Z,600,A1,,morn1,morn1_A1,NR,PL,,TK,,1,0
58e84027-b8aa-4b1c-960f-470bc007651f,,2025-04-09T01:00:36.000Z,600,A1,,morn1,morn1_A1,TK,PL,,NR,,1,0
18241ebd-15f2-4adc-af8b-415dbd2607e0,,2025-04-09T01:16:50.000Z,616,A1,,morn1,morn1_A1,NR,PL,,TK,,1,0
18241ebd-15f2-4adc-af8b-415dbd2607e0,,2025-04-09T01:16:50.000Z,616,A1,,morn1,morn1_A1,TK,PL,,NR,,1,0
7475beb5-246f-48c3-b34f-606f34314de3,,2025-04-09T04:49:39.000Z,829,A1,,enrich,enrich_A1,NR,PL,,TK,,1,0
7475beb5-246f-48c3-b34f-606f34314de3,,2025-04-09T04:49:39.000Z,829,A1,,enrich,enrich_A1,TK,PL,,NR,,1,0
aa39e42b-7de9-4abe-9360-5afd07e38087,,2025-04-09T04:59:42.000Z,839,A1,,enrich,enrich_A1,NR,PL,,TK,,1,0
aa39e42b-7de9-4abe-9360-5afd07e38087,,2025-04-09T04:59:42.000Z,839,A1,,enrich,enrich_A1,TK,PL,,NR,,1,0
5444cc92-900a-4c8b-a141-7a1eb12d5909,,2025-04-09T05:01:40.000Z,841,A1,,enrich,enrich_A1,NR,PL,,TK,,1,0
