ec5_uuid,condition,date,msm,group,is_all_occasions,trial,phase,first_day,block_ID,Ind1,behaviour,partner,notes,playing,aggression,agg_morn1,play_morn1,agg_morn2,play_morn2,agg_enrich,play_enrich,agg_extra,play_extra
8wE,Playback,2025-04-04 00:00:00,857.0,3,True,3,enrich,False,enrich_3_trial3_sec_play,ST,PL,TK,,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40C,Playback,2025-04-04 00:00:00,811.0,3,True,3,enrich,False,enrich_3_trial3_sec_play,ST,DS,,,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
DV8,Crow,2025-05-01 00:00:00,619.0,3,True,5,morn1,False,morn1_3_trial5_sec_cont,ST,DS,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahr,Crow,2025-05-01 00:00:00,682.0,3,True,5,morn2,False,morn2_3_trial5_sec_cont,ST,DS,,,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
nZF,Crow,2025-05-01 00:00:00,685.0,3,True,5,morn2,False,morn2_3_trial5_sec_cont,ST,DS,,,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Swd,Crow,2025-05-01 00:00:00,687.0,3,True,5,morn2,False,morn2_3_trial5_sec_cont,ST,DS,,,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bgt,Crow,2025-05-01 00:00:00,805.0,3,True,5,enrich,False,enrich_3_trial5_sec_cont,ST,PL,TK,,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NUb,Crow,2025-05-04 00:00:00,684.0,2,True,6,morn2,True,morn2_2_trial6_first_cont,ST,DS,,,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
N3J,Crow,2025-05-04 00:00:00,700.0,2,True,6,morn2,True,morn2_2_trial6_first_cont,ST,DS,,,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mpf,Crow,2025-05-05 00:00:00,863.0,2,True,6,enrich,False,enrich_2_trial6_sec_cont,ST,PL,NY,CHASE,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
