ec5_uuid;created_at;1_TIme;2_NC;4_ST_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_SR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_TN_Behavior;29_Contact;30_AR;31_3M;32_Notes;highlight
6c69b483-c5e1-430e-a5e8-0b3ba74bc780;2025-03-24T01:55:14.000Z;10:54;NO;RS;;;;;RS;;;SR;;RS;;;NY;;RS;;TN;;;RS;;TK;;;
3bc2c777-e626-44d4-817b-c572cdbc6add;2025-03-24T01:57:30.000Z;10:56;NO;RS;;;;;RS;;;TK, TN;;RS;;;;;RS;;TN;NY;;RS;;TK;NY;;red
30460a65-5a31-4a0d-bb1f-fd3b7875a94d;2025-03-24T01:58:40.000Z;10:58;Yes;RS;;;;;RS;;;TK, TN;;RS;;;;;RS;;TN;NY;;RS;;TK;NY;;green
79de2292-eabf-47cf-9649-34ac0958b12c;2025-03-24T02:00:39.000Z;11:00;Yes;RS;;;;;RS;;;TK, TN;;RS;;;;;RS;;TN;NY;;RS;;TK;NY;;green
620e286d-4ee9-4411-9c1b-5d345e70ba47;2025-03-24T02:03:10.000Z;11:02;NO;RS;;TN;;;RS;;;TK;;RS;;;;;RS;;;NY;;E;;ST;;;red
1e1588b7-9a04-4cc8-baa3-ab76b58c4e67;2025-03-24T02:04:44.000Z;11:04;Yes;RS;;TN;;;RS;;;TK;;RS;;;;;RS;;;NY;;E;;ST;;;green
95cadffd-a008-4b22-8314-c0ea1a206f33;2025-03-24T02:07:04.000Z;11:06;NO;RS;;;TN;;RS;;;TK;;RS;;;;;RS;;;NY;;M;;;ST;;
22b8ba65-7d80-4212-b22a-ff889a994e8f;2025-03-24T02:09:38.000Z;11:08;NO;RS;;;TN;;RS;;;TK;;RS;;;;;RS;;;NY;;E;;;ST;;red
4ec8fe86-ca0e-4241-8d12-cfda91efe967;2025-03-24T02:10:44.000Z;11:10;Yes;RS;;;TN;;RS;;;TK;;RS;;;;;RS;;;NY;;E;;;ST;;green
add162d2-1379-449f-9cda-690353926b3b;2025-03-24T02:13:06.000Z;11:12;NO;RS;;;TN;;RS;;;TK;;RS;;;;;RL;;;NY;;E;;;ST;;red
bfdff205-bb6a-4232-968a-7223115004d2;2025-03-24T02:14:44.000Z;11:14;Yes;RS;;;TN;;RS;;;TK;;RS;;;;;RL;;;NY;;E;;;ST;;green
64759188-f493-4700-9c0d-3395eae378da;2025-03-24T02:16:41.000Z;11:16;Yes;RS;;;TN;;RS;;;TK;;RS;;;;;RL;;;NY;;E;;;ST;;green
a684be06-8401-48c3-854d-09dfaf495973;2025-03-24T02:18:39.000Z;11:18;Yes;RS;;;TN;;RS;;;TK;;RS;;;;;RL;;;NY;;E;;;ST;;green
ab8e2cd0-c461-4772-b767-425b2ce2f298;2025-03-24T02:20:40.000Z;11:20;Yes;RS;;;TN;;RS;;;TK;;RS;;;;;RL;;;NY;;E;;;ST;;green
4cd08245-f637-4118-8e3c-129cbcf25e48;2025-03-24T02:23:10.000Z;11:22;NO;RS;;;TN;;RS;;;TK;;RS;;;;;RS;;;NY;;M;;;ST;;
8e333754-8dd0-4d52-bb49-d4d939b96f5a;2025-03-24T02:25:10.000Z;11:24;NO;RS;;;;;RS;;;TK;;RS;;;;;RS;;;NY;;RS;;;;;
a0ef686a-007b-4633-8430-51a439971228;2025-03-24T02:27:04.000Z;11:26;NO;M;;;;;RS;;SR;;;RS;;NY;;;RL;;;;;RS;;;;;
47c0ffd7-b4d7-42b4-9230-3b94ff27d70d;2025-03-24T02:29:46.000Z;11:28;NO;RS;;NY, TK;;;RS;;TK, ST;;;RS;;;;;RL;;ST, NY;;;DS;;;;Typical butt scooch behavior;
5c891757-9025-4b13-ad5a-e556e1f13c36;2025-03-24T02:31:28.000Z;11:30;NO;RS;;TK;NY;;RS;;;TK, ST;;RS;;;;;RL;;ST;NY;;RS;;;;;
17272193-20dc-4842-bfa0-3458e9338c05;2025-03-24T02:33:14.000Z;11:32;NO;RL;;TK;NY;;RS;;;TK, ST;;RS;;;;;RL;;ST;NY;;RS;;;;;
c4221f16-4c91-41d5-84e2-b73b1546e258;2025-03-24T02:35:11.000Z;11:34;NO;RL;;TK, NY;;;RS;;TK, ST;;;RS;;;;;RL;;ST, NY;;;RS;;;;;
a5395708-6317-4716-b9b6-f2315c8b3c76;2025-03-24T02:37:06.000Z;11:36;NO;RL;;TK;;;RS;;;;;RS;;;;;RL;;ST;;;RS;;;;;
911f7cda-716c-4d2e-b187-6aa5abad4af7;2025-03-24T02:39:15.000Z;11:38;NO;RL;;TK;;;RS;;;;;RS;;;;;RL;;ST;;;DS;;;;Typical butt scooch behav;
c0588e37-4b5a-4379-ac23-8efd3316e559;2025-03-24T02:41:15.000Z;11:40;NO;RL;;TK;;;RS;;;;;RS;;;;;RL;;ST;;;RS;;;;;red
1c60151f-5f2c-451c-a90c-567e2694951e;2025-03-24T02:42:39.000Z;11:42;Yes;RL;;TK;;;RS;;;;;RS;;;;;RL;;ST;;;RS;;;;;green
e2c6c451-d6bf-400e-8908-3215e66d3579;2025-03-24T02:45:09.000Z;11:44;NO;RL;;TK;NY;;RS;;;TK, ST;;RS;;;;;RL;;TN;NY;;DS;;;;;
b0bac1c8-4b8c-4aed-8fbc-b01e4f14b4bf;2025-03-24T02:46:59.000Z;11:46;NO;RL;;TK;NY;;RS;;;TK, ST;;RS;;;;;RS;;ST;NY;;RS;;;;;
87663646-460a-4788-ac2a-2c68f6c00a4f;2025-03-24T04:20:48.000Z;13:20;NO;E;;;TK, TN;;E;;;;;RS;;;;;E;;TN;ST;;E;;TK;ST;;red
ed85da7a-629a-4ba7-a4f8-dab5cc42cbf0;2025-03-24T04:22:19.000Z;13:22;Yes;E;;;TK, TN;;E;;;;;RS;;;;;E;;TN;ST;;E;;TK;ST;;green
1455bfba-e334-4679-be51-055b73f33a99;2025-03-24T04:24:46.000Z;13:24;NO;E;;TK;TN;;E;;;;;RS;;;;;E;;ST;TN;;E;;;TK, ST;;
c537ddda-5284-467a-a492-1be860285d8e;2025-03-24T04:26:43.000Z;13:26;NO;E;;TN;TK;;E;;;;;RS;;;;;M;;;TN, ST;;E;;ST;TK;;
b7528838-5e41-47ad-bffe-e6968ba9f895;2025-03-24T04:28:54.000Z;13:28;NO;E;;TN;;;E;;;TK;;RS;;;;;M;;;NY;;E;;ST;;;
14fa27c9-8fc2-44bb-b2ee-be03b4ce6fe2;2025-03-24T04:30:16.000Z;13:30;NO;E;;TN;;;RS;;;TK;;RS;;;;;RS;;;NY;;E;;ST;;;
7b576541-8874-43d7-8c55-63910855a205;2025-03-24T04:32:48.000Z;13:32;NO;E;;;TN;;E;;;TK;;RS;;;;;RS;;;NY;;E;;;ST;;
e7e479be-3f66-465f-946b-d4dbe046b7f3;2025-03-24T04:34:46.000Z;13:34;NO;E;;;TN;;M;;;SR;;RS;;;NY;;RL;;;;;E;;;ST;;
